date,Tokino Sora,Usada Pekora,Shiranui Flare,Houshyou Marine,Shirarogane Noel,Kiryu Coco
2017-12-12,0,,,,,
2017-12-31,24000,,,,,
2018-01-31,75000,,,,,
2018-03-28,98000,,,,,
2018-03-03,100000,,,,,
2018-03-31,121000,,,,,
2018-04-20,134000,,,,,
2018-05-31,147000,,,,,
2018-06-30,156000,,,,,
2018-07-31,166000,,,,,
2018-08-31,179000,,,,,
2018-09-30,188000,,,,,
2018-10-31,195000,,,,,
2018-11-26,200000,,,,,
2018-11-30,200000,,,,,
2018-12-31,206000,,,,,
2019-01-31,216000,,,,,
2019-02-28,219000,,,,,
2019-03-30,224000,,,,,
2019-04-30,228000,,,,,
2019-05-31,233000,,,,,
2019-06-30,235000,,,,,
2019-07-17,,0,,,,
2019-07-31,238000,16100,,,,
2019-08-31,240000,28500,19700,25000,39000,
2019-09-30,243000,40700,25500,35100,59200,
2019-10-31,245000,56900,33000,64100,78300,
2019-11-17,,,,,100000,
2019-11-30,250000,76300,43100,99300,123000,
2019-12-02,,,,100000,,
2019-12-28,,100000,,,,0
2019-12-31,262000,106000,58100,129000,157000,56700
2020-01-11,,,,,,100000
2020-01-31,272000,145000,76400,163000,187000,158000
2020-02-10,,,,,200000,
2020-02-15,,,,,,200000
2020-02-23,,,,200000,,
2020-02-29,284000,187000,92700,209000,216000,227000
2020-03-11,,200000,,,,
2020-03-13,,,100000,,,
2020-03-30,300000,,,,,
2020-03-31,301000,228000,112000,252000,240000,272000
2020-04-29,,,,,,300000
2020-04-28,,,,300000,,
2020-04-30,319000,291000,137000,305000,281000,327000
2020-05-04,,300000,,,,
2020-05-07,324000,309000,141000,318000,289000,335000
2020-05-17,,,,,300000,
2020-05-31,347000,370000,161000,363000,317000,373000
2020-06-13,,400000,,,,
2020-06-15,,,,,,400000
2020-06-18,,,,400000,,
2020-06-30,372000,444000,199000,419000,360000,437000
2020-07-02,,,200000,,,
2020-07-18,390000,489000,214000,452000,389000,469000
2020-07-19,391000,492000,214000,454000,390000,471000
2020-07-20,392000,494000,216000,456000,393000,473000
2020-07-21,392000,497000,216000,458000,394000,474000
2020-07-22,393000,500000,217000,460000,396000,476000
2020-07-23,394000,504000,218000,463000,399000,477000
2020-07-24,395000,508000,219000,465000,400000,480000
2020-07-25,396000,511000,221000,468000,404000,482000
2020-07-26,397000,515000,222000,471000,406000,484000
2020-07-27,398000,518000,223000,473000,409000,486000
2020-07-28,399000,521000,224000,475000,412000,488000
2020-07-29,400000,524000,225000,478000,417000,490000
2020-07-30,402000,527000,226000,483000,420000,492000
2020-07-31,403000,530000,227000,487000,421000,493000
2020-08-01,403000,533000,228000,489000,422000,495000
2020-08-02,404000,536000,229000,492000,424000,498000
2020-08-03,405000,539000,230000,495000,427000,500000
2020-08-04,406000,542000,231000,497000,429000,505000
2020-08-05,407000,545000,232000,504000,431000,507000
2020-08-06,408000,547000,234000,506000,433000,510000
2020-08-07,409000,551000,236000,508000,434000,512000
2020-08-08,410000,554000,237000,510000,438000,515000
2020-08-09,411000,556000,238000,512000,440000,518000
2020-08-10,412000,559000,239000,514000,441000,520000
2020-08-11,414000,563000,241000,517000,444000,523000
2020-08-12,416000,567000,243000,520000,446000,527000
2020-08-13,417000,571000,248000,524000,449000,529000
2020-08-14,419000,574000,252000,526000,453000,532000
2020-08-15,420000,579000,253000,529000,455000,534000
2020-08-16,421000,582000,254000,533000,456000,537000
2020-08-17,423000,587000,257000,536000,459000,541000
2020-08-18,424000,589000,259000,538000,462000,545000
2020-08-19,425000,594000,260000,541000,464000,547000
2020-08-20,426000,597000,261000,543000,466000,548000
2020-08-21,427000,602000,262000,548000,468000,551000
2020-08-22,428000,605000,263000,550000,471000,554000
2020-08-23,429000,608000,264000,553000,472000,556000
2020-08-24,430000,613000,265000,556000,474000,561000
2020-08-25,431000,616000,266000,559000,477000,565000
2020-08-26,432000,619000,267000,562000,479000,567000
2020-08-27,433000,622000,268000,564000,481000,570000
2020-08-28,434000,626000,269000,566000,483000,572000
2020-08-29,435000,629000,270000,568000,484000,574000
2020-08-30,436000,632000,271000,571000,486000,577000
2020-08-31,437000,636000,272000,573000,488000,579000
2020-09-01,438000,640000,273000,576000,489000,582000
2020-09-02,440000,642000,274000,579000,491000,583000
2020-09-03,440000,645000,275000,582000,493000,585000
2020-09-04,441000,648000,276000,584000,494000,588000
2020-09-05,442000,650000,277000,586000,496000,590000
2020-09-06,443000,654000,278000,589000,498000,594000
2020-09-07,447000,657000,279000,591000,502000,596000
2020-09-08,449000,660000,280000,593000,504000,598000
2020-09-09,450000,663000,281000,595000,505000,601000
2020-09-10,452000,665000,282000,597000,507000,604000
2020-09-11,453000,668000,283000,601000,508000,606000
2020-09-12,455000,672000,284000,604000,509000,610000
2020-09-13,456000,676000,285000,606000,511000,615000
2020-09-14,457000,680000,286000,608000,513000,617000
2020-09-15,458000,684000,287000,611000,514000,619000
2020-09-16,459000,687000,288000,613000,515000,621000
2020-09-17,460000,690000,290000,616000,517000,624000
2020-09-18,462000,693000,291000,618000,518000,626000
2020-09-19,463000,695000,292000,620000,520000,630000
2020-09-20,463000,699000,293000,623000,522000,634000
2020-09-21,465000,705000,295000,625000,524000,638000
2020-09-22,466000,708000,298000,627000,525000,640000
2020-09-23,467000,711000,302000,629000,527000,644000
2020-09-24,467000,714000,304000,631000,529000,646000
2020-09-25,468000,717000,305000,633000,530000,649000
2020-09-26,469000,719000,306000,635000,532000,651000
2020-09-27,469000,723000,308000,636000,533000,652000
2020-09-28,469000,721000,307000,634000,532000,656000
2020-09-29,469000,721000,307000,635000,532000,660000
2020-09-30,469000,722000,307000,635000,533000,662000
2020-10-01,470000,725000,308000,638000,535000,667000
2020-10-02,470000,728000,308000,641000,536000,669000
2020-10-03,471000,731000,309000,643000,539000,674000
2020-10-04,472000,734000,310000,645000,542000,677000
2020-10-05,472000,738000,312000,650000,543000,679000
